Compound,Category
Lactic Acid,Fermentation Product
Butyric Acid,Fermentation Product
Propionic Acid,Fermentation Product
Acetic Acid,Fermentation Product
Ethanol,Fermentation Product
3-hydroxybutyrate,Fermentation Product
Fructose,Sugar
Lactose,Sugar
Maltose,Sugar
Ribose,Sugar
Pyruvate,Glycolisis product
Citrate,Glycolisis product
Succinate,Glycolisis product
Malate,Glycolisis product
Alanine,Amino Acid
Aspartic acid,Amino Acid
Serine,Amino Acid
Glycine,Amino Acid
Proline,Amino Acid
Glutamine,Amino Acid
Glutamate,Amino Acid
Leucine,Amino Acid
Isoleucine,Amino Acid
Valine,Amino Acid
Phenylalanine,Amino Acid
Tryptophan,Amino Acid
Threonine,Amino Acid
Methionine,Amino Acid
Lysine,Amino Acid
Histidine,Amino Acid
Arginine,Amino Acid
Cystine,Amino Acid
Tyrosine,Amino Acid
Asparagine,Amino Acid
Cholesteryl ester,Lipid
Phosphatidylcholine,Lipid
Testosterone,Lipid
Triolein,Lipid
