Track Name,Artist Names,Album Name,Album Artist Names,Album Release Date,Disc Number,Track Number,Track Duration ms,Explicit,Popularity,ISRC,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
Justified & Ancient - Stand by the Jams,The KLF,Songs Collection,The KLF,8/3/92,1,3,216270,FALSE,0,QMARG1760056,"acid house,ambient house,big beat,hip house",0.617,0.872,8,-12.305,1,0.048,0.0158,0.112,0.408,0.504,111.458,4,,Jams Communications,"C 1992 Copyright Control, P 1992 Jams Communications"
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,Pitbull,10/23/09,1,3,237120,FALSE,64,USJAY0900144,"dance pop,miami hip hop,pop",0.825,0.743,2,-5.995,1,0.149,0.0142,0.0000212,0.237,0.8,127.045,4,,Mr.305/Polo Grounds Music/J Records,"P (P) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment"
From the Bottom of My Broken Heart,Britney Spears,...Baby One More Time (Digital Deluxe Version),Britney Spears,1/12/99,1,6,312533,FALSE,56,USJI19910455,"dance pop,pop",0.677,0.665,7,-5.171,1,0.0305,0.56,0.00000101,0.338,0.706,74.981,4,,Jive,P (P) 1999 Zomba Recording LLC
Apeman - 2014 Remastered Version,The Kinks,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",The Kinks,10/20/14,1,11,233400,FALSE,42,GB5KW1499822,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter",0.683,0.728,9,-8.92,1,0.259,0.568,0.0000508,0.0384,0.833,75.311,4,,Sanctuary Records,"C © 2014 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2014 Sanctuary Records Group Ltd., a BMG Company"
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,The Rolling Stones,12/5/69,1,9,448720,FALSE,0,USA176910100,"album rock,british invasion,classic rock,rock",0.319,0.627,0,-9.611,1,0.0687,0.675,0.0000729,0.289,0.497,85.818,4,,Universal Music Group,"C © 2002 ABKCO Music & Records Inc., P ℗ 2002 ABKCO Music & Records Inc."
Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours,Fleetwood Mac,2/4/77,1,4,193346,FALSE,79,USWB10400049,"album rock,classic rock,rock,soft rock,yacht rock",0.671,0.71,9,-7.724,1,0.0356,0.0393,0.0000112,0.0387,0.834,118.745,4,,Rhino/Warner Records,"C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",7/12/18,1,1,173799,FALSE,78,USUM71809132,"pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4,,Benny Blanco Solo Album PS,"C © 2018 Friends Keep Secrets/Interscope Records, P ℗ 2018 Friends Keep Secrets/Interscope Records"
Something About The Way You Look Tonight - Edit Version,Elton John,Candle In The Wind 1997 / Something About ...,Elton John,1/1/97,1,1,240546,FALSE,61,GBAMS9700013,"glam rock,mellow gold,piano rock,rock",0.48,0.628,6,-7.643,1,0.0262,0.174,0.0000328,0.0753,0.541,143.412,4,,EMI,"C © 1997 Mercury Records Limited, P This Compilation ℗ 1997 Mercury Records Limited"
Juke Box Hero,Foreigner,4 (Expanded),Foreigner,1981,1,2,259800,FALSE,74,USAT20803006,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock",0.357,0.653,9,-5.554,1,0.0654,0.0828,0,0.0844,0.522,176.647,4,,Rhino Atlantic,"C © 2002 Atlantic Recording Corp., marketed by Rhino Entertainment Company, a Warner Music Group company, P ℗ 2002 Atlantic Recording Corp."
Mercy,Shawn Mendes,Illuminate (Deluxe),Shawn Mendes,9/23/16,1,2,208733,FALSE,0,USUM71603531,"canadian pop,pop,viral pop",0.562,0.681,11,-4.934,0,0.0871,0.113,0,0.11,0.357,148.064,4,,Universal Music Group,"C © 2016 Island Records, a division of UMG Recordings, Inc., P ℗ 2016 Island Records, a division of UMG Recordings, Inc."
It's Like That,"Run–D.M.C., Jason Nevins",The Greatest Hits,Run–D.M.C.,9/10/02,1,1,250626,FALSE,68,USAR19700609,"east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap",0.852,0.874,7,-11.208,1,0.0427,0.0168,0.45,0.133,0.666,129.029,4,,Arista,P (P) 2003 BMG UK & Ireland Ltd
Here Without You,3 Doors Down,Away From The Sun,3 Doors Down,11/12/02,1,6,238733,FALSE,80,USUR10200764,"alternative metal,nu metal,post-grunge,rock",0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,4,,Universal Records,"C © 2002 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2002 Universal Motown Records, a division of UMG Recordings, Inc."
Listen to the Band - Single Version,The Monkees,The Best of The Monkees,The Monkees,2003,1,25,149106,FALSE,31,USRH10281208,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",0.26,0.659,2,-8.98,1,0.0625,0.114,0.0000295,0.499,0.537,184.38,4,,Rhino,"C © 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co., P ℗ 2003 Warner Strategic Marketing. Warner Music Group, an AOL Time Warner Co."
With A Little Luck - Remastered 1993,Wings,London Town,Wings,3/31/78,1,9,344773,FALSE,0,GBCCS0700630,"album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.652,0.372,6,-15.445,0,0.0321,0.069,0.000197,0.0923,0.283,111.984,4,,Paul McCartney Catalog,"C © 1978 MPL Communications Inc/Ltd, P ℗ 1993 MPL Communications Inc/Ltd"
Sing,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,6/21/14,1,3,235382,FALSE,73,GBAHS1400082,"pop,singer-songwriter pop,uk pop",0.818,0.67,8,-4.451,0,0.0472,0.304,0.00000122,0.0601,0.939,119.988,4,,Atlantic Records UK,"C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
Mississippi,Pussycat,First Of All,Pussycat,1/1/76,1,8,273800,FALSE,58,NLA277500082,nederpop,0.605,0.731,10,-9.327,1,0.0358,0.24,0.000459,0.257,0.638,123.332,4,,"Universal Music, a division of Universal International Music BV","C © 2001 Universal International Music B.V., P ℗ 2001 Universal International Music B.V."
Flava,Nathaniel,Yours,Nathaniel,1/1/16,1,2,185266,FALSE,5,AUBM01500025,"australian pop,australian talent show",0.813,0.754,4,-3.911,0,0.0494,0.166,0,0.121,0.923,112.962,4,,DNA Songs/Sony Music Entertainment,P (P) 2015 DNA Songs/ Sony Music Entertainment Australia Pty Ltd.
Baby Sittin' Boogie - Radio Version,Buzz Clifford,Rock & Roll 50s & 60s Mix,Various Artists,10/1/16,1,24,122958,FALSE,6,DEAR41442794,,0.483,0.533,6,-9.883,1,0.145,0.805,0,0.161,0.878,140.11,4,,Rock Miramike,"C 2016 Rock Miramike, P 2016 Rock Miramike"
Dr. Love,Tina Charles,Dance Little Lady,Tina Charles,3/20/12,1,2,189320,FALSE,15,GBQRF1119559,"disco,hi-nrg",0.736,0.563,2,-13.837,1,0.0312,0.0165,0,0.166,0.96,102.021,4,,Dressed 2 Kill - OMP,C 2012 One Media Publishing
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow",Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),Glee Cast,3/8/11,1,1,226760,FALSE,0,USQX91100225,"glee club,post-teen pop",0.637,0.416,2,-7.595,1,0.0269,0.434,0,0.139,0.588,145.922,4,,Columbia,P (P) 2011 Twentieth Century Fox Film Corporation
I'm Free,"The Soup Dragons, Junior Reid",20 Golden Greats,The Soup Dragons,2012,1,2,211693,FALSE,0,GBUM71104914,"britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae",0.648,0.936,7,-5.968,1,0.0797,0.0981,0.0000224,0.0712,0.856,103.272,4,,Universal Music Group,"C © 2012 Mercury Records Limited, P ℗ 2012 Mercury Records Limited"
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Writing's On The Wall,Sam Smith,9/25/15,1,1,278987,FALSE,68,GBUM71505354,"pop,uk pop",0.261,0.302,5,-8.19,0,0.0339,0.769,0.00000257,0.0863,0.0883,81.418,3,,Capitol,"C © 2015 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2015 Capitol Records, a division of Universal Music Operations Limited"
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,If You Knew Suzi… (2017 Remaster),Suzi Quatro,8/12/78,1,6,232994,FALSE,0,UKKP21700074,glam rock,0.667,0.66,9,-8.819,1,0.0348,0.117,0.000854,0.0707,0.905,133.867,4,,Chrysalis Records,"C 1978 Chrysalis Records Limited, P 2017 Chrysalis Records Limited"
